LATITUDE	LONGITUDE
-38.1917707	143.2480217
-33.7602338	151.0993302
-31.97235	115.78203
-30.0969875	153.1950182
-27.6810368	153.0618232
-31.1077117	150.8875831
-20.39474439	118.6122417
-34.8350252	150.6052417
-33.9024068	151.1493803
-42.8345541	147.2545801
-33.8053563	151.2876739
-41.4364924	147.0993819
-33.9381425	151.1170173
-33.90817377	151.1751647
-38.29638	145.172361
-33.7961395	151.2672532
-33.87961338	116.3575623
-29.0269027	167.9441342
-27.5266082	153.274399
-33.7838369	151.0884603
-33.46457738	151.3636874
-36.7291309	146.9430241
-33.7355321	151.29275
-27.216292	153.026158
-37.5994916	145.1109615
-33.77941094	151.1538081
-35.1635366	147.3779584
-42.89878622	147.3067221
-27.6513748	152.915697
-31.9731335	115.9433632
-32.20431992	115.8615062
-27.5696405	153.3027364
-34.0317823	151.1030961
-36.2053386	145.3293916
-33.80238151	151.1080973
-36.0216324	146.74505
-33.8570746	151.0365223
-33.7081218	150.3253279
-33.9067273	151.059543
-33.7681858	151.1375591
-32.9364493	151.720586
-38.3672739	142.5137046
-33.7402029	151.2047505
-33.8586915	121.7623
-34.3192503	148.2975431
-33.198343	138.0054913
-32.2396345	149.585459
-37.6569522	145.5363896
-28.165441	153.5488331
-33.530702	151.3051596
-37.8096973	145.2048297
-36.08970463	146.9219415
-37.905122	145.066994
-34.763926	149.7033634
-27.4195372	152.9605829
-28.8959877	152.527184
-33.686168	150.8973726
-31.9297326	115.8755191
-27.4678175	153.0961371
-34.9920433	138.5172051
-28.0504055	153.4395833
-33.8877488	151.1578279
-33.7702054	151.1839636
-27.0965223	152.9245421
-29.5725672	151.1680947
-33.8732981	150.9352077
-36.0714014	146.9406746
-33.7434046	151.2877758
-31.90346	115.77024
-31.1163884	150.9048653
-37.8683933	144.9918121
-33.29607236	149.085626
-32.539202	151.9596482
-34.568196	150.8009143
-34.0636888	150.7314323
-37.600139	145.205122
-37.8200384	145.0225546
-37.9238497	145.3740989
-33.9321683	151.235962
-27.5802631	153.0829892
-36.03407569	147.0060802
-37.7039741	145.1748293
-34.0268436	151.098304
-28.0163044	153.3450211
-28.2879949	153.3782183
-33.7477671	150.7960341
-33.7843287	150.6650114
-35.0945664	150.6033574
-33.7286201	150.7847913
-35.2165384	149.0322963
-37.757709	145.004537
-33.6984497	150.5511717
-28.0782964	153.4466531
-27.9573705	153.3517623
-33.6407167	151.3190217
-33.8051532	151.2590915
-33.9151058	151.2013819
-31.465386	152.8533479
-32.01861	115.8581
-33.43952709	151.3237002
-33.7697772	151.0907386
-34.9818721	138.5497954
-30.5099742	151.6702076
-34.7853677	138.6706678
-33.7395231	150.8536709
-37.88367	145.359313
-37.745196	144.978895
-30.2341445	153.149124
-34.7399577	149.7143969
-38.529401	145.5180929
-19.32519978	146.7392157
-32.9324091	151.7502153
-27.5405885	152.56693
-31.6003157	146.6828741
-33.9599292	151.1404585
-33.7018768	150.9639204
-36.1773202	146.9453922
-33.4252984	151.429292
-33.9221448	150.8658526
-28.8101605	153.338718
-33.7448174	150.8416346
-34.5764321	150.8478983
-35.1680704	149.1238266
-33.8919122	151.2674975
-34.1056185	150.7921931
153.0087775	-27.3205741
-35.31799	149.1021243
-31.94036	115.83143
-24.8768042	152.4080964
-41.5745456	147.1612528
-29.7257047	151.7308927
-32.8273501	151.4799179
-33.7136758	151.0100501
-34.9071044	150.7289151
-33.6742428	151.1175735
-34.9134987	138.5124931
-38.00961	145.317691
-37.6559032	145.0444695
-33.9486594	150.9627693
-27.3683776	153.0102378
-23.36143	119.73895
-38.2666512	145.1147535
-33.8429234	151.083997
-38.1897433	144.3535557
-36.7165874	146.9320189
-33.8134881	150.97418
-16.9762026	145.7502071
-33.7339961	151.1312291
-34.9246733	138.5173747
-34.87980143	138.6718133
-34.1832501	140.7304615
-33.8564181	151.1738082
-31.30317	151.1500493
-34.0639365	150.7985461
-33.82665083	117.166807
-31.9661	116.04557
-33.8850525	151.1203374
-19.3926349	146.726769
-34.0386168	151.0712451
-34.0772642	150.6896467
153.0107909	-27.4546235
-35.9684885	146.6142475
-27.9956418	153.3810517
-33.8920252	151.1578143
-27.438037	153.0431947
-31.4990534	145.8241155
-37.811209	145.259329
-34.3099895	142.1819247
-35.16578565	149.0997398
-30.75271	121.47572
-32.926715	151.6054343
-37.9384479	145.0296566
-27.6554486	152.8837161
-34.8931548	138.6213706
-33.8983273	150.8806799
-38.17865212	144.3289026
-16.8108667	145.7026027
-33.967	115.08376
-16.88475686	145.6914114
-33.4110885	149.7508392
-36.03249935	146.9798577
-34.04689627	151.1279294
-33.8945446	151.0822779
-27.562572	152.9340641
-33.870516	151.0816007
-35.0611747	138.7162133
-12.6327762	141.8829415
-33.79312774	150.9021913
-25.2595675	152.8210612
-38.11864564	145.3434648
-33.37176889	151.293691
-33.9368403	150.7858419
-32.1778523	148.1924916
-34.77111707	138.6293128
-33.8493651	151.0109526
-27.692806	153.126647
-33.7623406	151.1570581
-33.786083	151.2129139
-37.904392	144.992052
-27.5797662	153.0234509
-33.7879015	151.0911825
-27.2938022	152.9772232
-35.3326413	149.1231414
-27.48538087	153.0737654
-32.7703573	151.6323813
-38.14947139	145.1739224
-12.18510571	96.82528613
-33.7055379	151.2878194
-28.50601499	150.3256226
-27.631288	153.0243167
152.9988228	-27.4580895
-31.7014105	147.8334042
-37.69545001	145.147465
-37.7304902	144.9814245
-35.2175428	149.0283116
-37.882145	144.658864
-27.5170123	152.9355528
-33.7858562	151.1161586
-42.8941786	147.3286542
-25.2381674	152.2772738
-37.7036754	144.7970023
-38.08277381	145.2181295
-33.9417866	151.0166356
-35.0469874	150.6733082
-33.9561123	151.072293
-37.754724	144.886086
-33.3930315	151.3530818
-26.794143	153.1284108
-30.2829961	153.0985855
-37.95458951	145.0598892
-31.8485	115.77609
-33.7421407	150.4723385
-34.0985767	150.7950436
-28.7990735	153.3001375
-32.7426571	151.768741
-41.1523618	146.818597
-37.777392	145.319767
-35.4296192	149.0918275
-33.77987366	151.0817309
-30.9890499	150.9296304
-27.5855487	151.9709856
-33.9490425	151.0703789
-38.1933806	145.4922724
-33.9365302	151.225231
-27.3134453	153.0265567
-33.7262491	151.2895453
-32.0501891	152.5089528
-33.7254438	150.4626827
-33.7022049	151.0771765
